销售人员	公司名称	联系人	电话	手机	地址	经营产品类别	E-mail	QQ	微信号	备注信息
刘傲	杭州亿凡医疗器械有限公司		0571-88095328  	13858115749	杭州富阳市常绿镇北坞村	医疗器械	yifan9809@126.com			
刘傲	杭州百诺生物科技有限公司		0571-88386139-8006		杭州假山路8号新青年广场A1617	医疗器械	32962599@qq.com			
刘傲	杭州协合医疗用品有限公司		0571-88376183-816		杭州经济技术开发区10号大街(东)125号	医疗器械	dawei_zh@aliyun.com			
刘傲	杭州创新生物检控技术有限公司		0571-87814635 		杭州经济技术开发区10号大街139号	医疗器械	thchen@hgb.com.cn			
刘傲	永正传感（杭州）有限公司		0571-88857565		杭州经济技术开发区11号（南）大街160号	医疗器械	angell.peng@anyloadgroup.com.cn			
刘傲	杭州京泠医疗器械有限公司		0571-86840896 		杭州经济技术开发区16号大街9号	医疗器械	kyoling@kyoling.com.cn			
刘傲	杭州铭众生物科技有限公司		0571-86720556 		杭州经济技术开发区6号大街452号孵化器2号楼C0101室	医疗器械	goodsong512@yahoo.com.cn			
刘傲	杭州美诺瓦医疗科技有限公司		0571-87705713		杭州市滨江区滨康路677号	医疗器械	tangweiping@mednova.cn			
刘傲	浙江格宜医疗器械有限公司		0571-86676309 86676307 	18072996678	杭州市滨江区楚天路190号	医疗器械	trade@zjgeyi.com			
刘傲	杭州科百特过滤器材有限公司		0571-87704266		杭州市滨江区江晖路1961号隆和国际16层	医疗器械	melody@cobetterfilter.com			
刘傲	浙江康源医疗器械有限公司		0571-88058555		杭州市滨江区聚工路23号3号楼	医疗器械	zhejiangkangyuan@163.com			
刘傲	加拿大HnG医学技术有限公司		0571-28887099		杭州市滨江区南环路3730号源越大厦8F	医疗器械	info@hngmedical.com			
刘傲	杭州泽硕医疗科技有限公司		0571-88846771 		杭州市滨江区南环路4280号	医疗器械	hzzeshuo@163.com			
刘傲	杭州梅清数码科技有限公司		0571-87977565-882 86057861		杭州市滨江区浦沿街道西湘路66号	医疗器械	2260310958@qq.com			
刘傲	杭州欣浩医疗科技有限公司		0571-64827969 		杭州市淳安县千岛湖镇鼓山工业园区华盛路90号	医疗器械	hzsinohao@163.com			
刘傲	浙江省淳安县人和医疗用品工贸有限公司		0571-64883981		杭州市淳安县千岛湖镇经济开发区鼓山工业园区	医疗器械	26661882@qq.com			
刘傲	杭州千岛湖兰格生物科技有限公司		0571-64885818		杭州市淳安县千岛湖镇坪山路29号	医疗器械	qdhlonger@126.com			
刘傲	杭州康生医疗器械有限公司		0571-63438883 		杭州市富阳区银湖街道勤乐村水坞155号	医疗器械	hzkangsheng@yahoo.com.cn			
刘傲	杭州珍琦卫生用品有限公司		0571-63597518 		杭州市富阳市大源镇纬山路11号	医疗器械	tina@hzzhenqi.com.cn			
刘傲	杭州富阳医用缝合针线厂		0571-63408869 		杭州市富阳市东洲工业园区二号路3号	医疗器械	czyyz@hotmail.com			
刘傲	杭州鼎岳空分设备有限公司		0571-61730808		杭州市富阳市富阳春街道三桥路200号第3幢101室	医疗器械	hzdykf@126.com			
刘傲	杭州凯龙医疗器械有限公司		0571-87195007 87195000-8517		杭州市富阳市富阳东洲工业功能区6号路6号	医疗器械	info@kailongx-ray.com			
刘傲	杭州擦擦净卫生用品有限公司		0571-86519678 		杭州市富阳市富阳里山镇江滨路20号	医疗器械	974339455@qq.com			
刘傲	杭州盛大高科技机电有限公司	赵玉娟	0571-63432083 63436991 63432082		杭州市富阳市高尔夫路83号	医疗器械	gmg111@163.com			
刘傲	杭州精锐医疗器械有限公司		0571-63417238		杭州市富阳市受降镇银湖开发区	医疗器械	jrylyjs@163.com			
刘傲	杭州申生消毒设备有限公司		0571-22919272 		杭州市富阳市银湖街道新常村	医疗器械	sales01@allbeyond.com.cn			
刘傲	杭州华威医疗用品有限公司		0571-63371819 		杭州市富阳市迎宾北路198号	医疗器械	hz.huawei@vip.163.com			
刘傲	杭州迈尔科技有限公司		0571-82877733 		杭州市拱墅区康桥镇康平路11号1#-2#	医疗器械	mall-china@163.com			
刘傲	杭州强新医疗设备有限公司		0571-85237675 		杭州市拱墅区康园路12号7幢北侧1-5层	医疗器械	pysh100@126.com			
刘傲	杭州江浩医疗器械有限公司		0571-86077125 86052363-808		杭州市拱墅区莫干山路1418-3号	医疗器械	zhangxinjiang@gmail.com			
刘傲	挪度医疗器械(杭州)有限公司		0571-88011705		杭州市拱墅区沈半路192号	医疗器械	sales@laerdal.cn 			
刘傲	杭州启杭医疗器械有限公司		0571-86809819		杭州市江城路水门南弄3号1号楼2楼	医疗器械	qhchq09@163.com			
刘傲	杭州远想医疗设备有限公司		0571-86710726		杭州市江干区临丁路1191号嘉德威文创园B幢3061室	医疗器械	hzyxyl@163.com			
刘傲	杭州迈迪克仪器有限公司		0571-81992727-8003		杭州市江干区天台山路17-3号	医疗器械	medic@mail.hz.zj.cn			
刘傲	杭州康永生物技术有限公司		0571-86737118-8651		杭州市江干区下沙经济技术开发区14号大街17号	医疗器械	sales@prometheusbio.com			
刘傲	杭州佐帕斯工业有限公司		0571-28827116 		杭州市江干区下沙经济技术开发区14号大街3号	医疗器械	guan.xuelan@zoppas.com			
刘傲	浙江曙光科技有限公司		0571-87687066-8047		杭州市江干区下沙经济技术开发区银海街550号	医疗器械	37804972@qq.com			
刘傲	安瑞医疗器械（杭州）有限公司	姜金铭	0571-86913333-8670		杭州市江干区下沙经济开发区8号大街3号	医疗器械	jinming.jiang@anrei.com.cn			
刘傲	百慧医疗设备有限公司		0571-89811068 		杭州市经济技术开发区新加坡科技园2幢1001	医疗器械	beneware@belimed.cn			
刘傲	杭州美泰医疗器械有限公司		0571-58606185-812		杭州市临安市锦南街道杨岱路77号	医疗器械	xujing@hzmtyl.com			
刘傲	杭州富善医疗器械有限公司		0571-23652388 		杭州市临安市玲珑工业集聚区锦溪南路1288号	医疗器械	heather@fushanhz.com			
刘傲	万马电子医疗有限公司		0571-63859617 		杭州市临安市太湖源镇青云工业区万马电子医疗	医疗器械	385249455@qq.com			
刘傲	浙江隆泰医疗科技股份有限公司	赵耀	0571-88829690		杭州市莫干山路972号泰嘉园B座301-303室	医疗器械	innomed@longterm-health.com			
刘傲	浙江舒怀特医疗科技有限公司	贾微微	0577-86705526 	13706666066	杭州市上城区环城东路土山一弄2号301室	医疗器械	xingwei1089@126.com			
刘傲	浙江舒友仪器设备有限公司		0571-87177606-804		杭州市上城区江城路887号联银大厦西楼1905室	医疗器械	pmod@shuyou-china.com			
刘傲	杭州联众医疗科技有限公司		0571-88822211		杭州市上城区紫金观巷26号307	医疗器械	285021781@qq.com			
刘傲	杭州天怡医疗器械有限公司		0571-86778776		杭州市石祥路59号11号楼东2楼	医疗器械	363766297@qq.com			
刘傲	艾康生物技术（杭州）有限公司		0571-87775733		杭州市天目山路398号	医疗器械	kevin.fu@aconlab.com.cn			
刘傲	杭州威德医疗科技有限公司		0571-58593517 		杭州市桐庐县城高家路289号	医疗器械	315666176@qq.com			
刘傲	杭州申科医疗器械有限公司		0571-64288686 		杭州市桐庐县城南路588号	医疗器械	hzshenke@126.com			
刘傲	杭州桐庐医达器械设备有限公司		0571-64241998 		杭州市桐庐县城南路618号	医疗器械	zhangyj@hztlyd.cn			
刘傲	浙江申达斯奥医疗器械有限公司		0571-64281086 		杭州市桐庐县江南镇深澳开发区	医疗器械	info@shendasiao.com			
刘傲	杭州南宇医疗器械有限公司		0571-64288258 		杭州市桐庐县江南镇徐青线1号	医疗器械	sales@nanyu-medical.com			
刘傲	杭州康基医疗器械有限公司		0571-69910717 		杭州市桐庐县经济开发区春江东路1668号	医疗器械	eva_li@hzkangji.com			
刘傲	杭州桐庐时空候医疗器械有限公司		0571-64282698 69968888		杭州市桐庐县经济开发区桑园路100号	医疗器械	shikonghou@163.com	824851020		
刘傲	杭州市桐庐医疗光学仪器总厂		0571-64250278 		杭州市桐庐县经济开发区上洋洲路2-18号	医疗器械	xilipin1125@126.com			
刘傲	杭州振兴医疗器械制造有限公司		0571-28006198 		杭州市桐庐县梅林路633号	医疗器械	zxyl@zjzxyl.cn			
刘傲	杭州光典医疗器械有限公司		0571-64222722		杭州市桐庐县县城白云源西路88号	医疗器械	optcla@hzguangdian.com.cn			
刘傲	杭州科宇医疗器械有限公司		0571-86078036		杭州市望江路69号宋都大厦602室	医疗器械	hzkeyu@hzkeyu.com			
刘傲	杭州源通医疗器械有限公司		0571-87048533 		杭州市西湖区留下镇街道古灵慈桥2-1号	医疗器械	fangjian@hzytyl.com			
刘傲	杭州世佳电子有限公司		0571-81957767-988		杭州市西湖区三墩科技工业园振中路202号2号楼	医疗器械	sale30@sejoy.com			
刘傲	艾森生物（杭州）有限公司		0571-28901008		杭州市西湖区三墩西园五路2号5幢	医疗器械	Sales@aceabio.com.cn			
刘傲	杭州蔡卓医疗设备有限公司		0571-88221919		杭州市西湖区三墩镇双桥村翁家头39号9幢301	医疗器械	xiaocaitech@vip.sohu.com			
刘傲	杭州广发电子技术有限公司		0571-89908988 		杭州市西湖区三墩镇塘河村委	医疗器械	jiangruozheng@126.com			
刘傲	杭州纳奈莫贸易有限公司		0571-28207535 		杭州市西湖区文三路478号华星时代广场A座1308室	医疗器械	info@canack.com			
刘傲	杭州鼎诺医疗设备有限公司		0571-87356615 87356616   		杭州市西湖区文三路508号天苑大厦1601-2室	医疗器械				
刘傲	杭州天琅自动化设备有限公司		0571-88860132		杭州市西湖区西园五路2号3幢1楼	医疗器械	hztianlang@sina.com			
刘傲	杭州圣合医疗器械成套有限公司		0571-85809286		杭州市下城区朝晖路182号国都发展大厦二幢13F-E	医疗器械	hzshenghe@sohu.com			
刘傲	杭州立创生物科技有限公司		0571-88030871 		杭州市下城区绍兴路337号野风现代之星1312室	医疗器械	hzlcsw@163.com			
刘傲	杭州正大医疗器械有限公司		0571-85094131		杭州市下城区石桥路279号	医疗器械	yan@zd1991.com			
刘傲	杭州中意自动化设备有限公司		0571-85461602 		杭州市下城区石桥路279号1号楼A座	医疗器械	allen@zyautomation.com			
刘傲	杭州源骏工业产品设计有限公司		0571-85302216-812		杭州市下城区石桥路279号经纬国际创意产业园5号楼D座	医疗器械	sales@runite.com.cn			
刘傲	杭州康淼医疗器械科技有限公司		0571-28973799 		杭州市下城区永华街65号1幢西501室	医疗器械	kangmiaomed@live.com			
刘傲	杭州圣石科技有限公司		0571-82862112-8001		杭州市萧山博奥路威磊工业园	医疗器械	1021414303@qq.com			
刘傲	杭州创威空分科技有限公司		0571-82251921		杭州市萧山区河上多功能开发区	医疗器械	13336137568@163.com			
刘傲	忠诚医疗用品（杭州）有限公司		0571-86042912  		杭州市萧山区河庄同一工业区	医疗器械				
刘傲	杭州大力神医疗器械有限公司		0571-22886693 		杭州市萧山区建设二路100号	医疗器械	sales@dalishen.com			
刘傲	杭州美美科技有限公司		0571-82827992-826		杭州市萧山区建设三路50号	医疗器械	2488572168@qq.com			
刘傲	杭州萧山医疗器械厂		0571-82461758 		杭州市萧山区进化工业园区3号路	医疗器械	web@hlhx.com			
刘傲	杭州江南世家药业有限公司		0571-82172316		杭州市萧山区南阳经济开发区	医疗器械	xsyoniner@aliyun.com			
刘傲	杭州好克光电仪器有限公司		0571-22811666		杭州市萧山区所前镇新达路九号	医疗器械	hawk@chinahawk.cn			
刘傲	杭州山友医疗器械有限公司		0571-56169099-8012		杭州市萧山区闻堰镇长安村	医疗器械	work5@symedi.com			
刘傲	杭州力胜医疗器械有限公司		0571-82304716 82308038		杭州市萧山区闻堰镇凌家坞工业园	医疗器械	hzlsyl@126.com			
刘傲	杭州柯尼达医疗器械厂		0571-82308719		杭州市萧山区闻堰镇王家里365号	医疗器械	13806825185@139.com			
刘傲	杭州健群医疗器械有限公司		0571-82725286 		杭州市萧山区萧绍东路98号	医疗器械	jqyl@jqyl.com			
刘傲	杭州惠康医疗器械有限公司		0571-82393815-808		杭州市萧山区新塘街道琴山下5-1号	医疗器械	hkylqx@126.com			
刘傲	杭州普瑞美克生物科技有限公司		0571-87040489		杭州市新华路9号铭和商务楼5楼	医疗器械	1484208432@qq.com			
刘傲	微泰医疗器械（杭州）有限公司		0571-88566372-821		杭州市余杭区仓前街道海曙路9号3幢4层	医疗器械	sales@microtechmd.com			
刘傲	杭州博菲医疗器械有限公司		0571-89057992 		杭州市余杭区仓前街道永乐村后木桥1-1号2幢	医疗器械				
刘傲	杭州圣王医疗设备有限公司		0571-88577072-811		杭州市余杭区仓前镇龙泉路8-1号	医疗器械	ljl@hzsunkings.com			
刘傲	杭州莱特水外理设备有限公司		0571-86136990		杭州市余杭区东湖北路161号	医疗器械	erictseng0919@gmail.com			
刘傲	杭州新颖氧舱有限公司		0571-89006662 		杭州市余杭区良渚街道安溪路2-6号	医疗器械	413675219@qq.com			
刘傲	杭州万洁水处理设备有限公司		0571-88754458-8000 88755629		杭州市余杭区良渚街道莫干山路1986号	医疗器械	wj@hzwj.cn			
刘傲	杭州优尼克消毒设备有限公司		0571-88781298 		杭州市余杭区良渚经济开发区8号	医疗器械	zqq570921@163.com			
刘傲	浙江朗柯生物工程有限公司		0571-88525999 		杭州市余杭区瓶窑凤都工业区块羊城路13-1号	医疗器械	lkeshengwu@aliyun.com			
刘傲	杭州龙德医用器械有限公司		0571-85145488 		杭州市余杭区钱江经济开发区顺风路510号	医疗器械	hzlongde@163.com			
刘傲	杭州天创环境科技股份有限公司		0571-86989170		杭州市余杭区未来科技城海曙路16号	医疗器械	tcsc@hztchj.com			
刘傲	杭州普勒佳生物科技有限公司		0571-26230799 		杭州市余杭区文一西路998号海外高层次人才创新园19幢605	医疗器械	2890898757@qq.com			
刘傲	杭州成昌商贸有限公司	郎朗	0571-86179095 		杭州市余杭区五常白庙工业园	医疗器械	2537749@qq.com			
刘傲	杭州华安医疗保健用品有限公司		0571-88734065-8011		杭州市余杭区五常经济开发区白庙工业园2幢	医疗器械	lijq6403@yahoo.com.cn			
刘傲	浙江坤昱科技有限公司		0571-88325520 		杭州市余杭区闲林工业区圣地路16号	医疗器械	yingxiao@kunyukj.com			
刘傲	杭州博拓生物技术有限公司		0571-88630088		杭州市余杭区中泰街道富泰路17号	医疗器械	info@biotests.com.cn			
刘傲	杭州超德斯实业有限公司		0574-63330573 		杭州市余杭区中泰街道泰峰村	医疗器械	sales@jodismed.com			
